"Aaron Buchanan & The Cult Classics", "Rock", "The Dogtooth Stage", "Sunday"
"Alcest", "Metal", "The Dogtooth Stage", "Sunday"
"Alien Weaponry", "Metal", "The Dogtooth Stage", "Saturday"
"Allusinlove", "Rock", "Avalanche Stage", "Sunday"
"Amity Affliction (The)", "Metal", "Avalanche Stage", "Sunday"
"Amon Amarth", "Metal", "Main Stage", "Sunday"
"Animals As Leaders", "Metal", "Zippo Encore Stage", "Saturday"
"Anthrax", "Metal", "Zippo Encore Stage", "Sunday"
"At The Gates", "Metal", "The Dogtooth Stage", "Friday"
"Bad Wolves", "Rock", "Zippo Encore Stage", "Saturday"
"Badflower", "Rock", "Zippo Encore Stage", "Sunday"
"Batushka", "Metal", "The Dogtooth Stage", "Saturday"
"Beartooth", "Metal, Punk", "Zippo Encore Stage", "Sunday"
"Behemoth", "Metal", "Main Stage", "Saturday"
"Black Futures", "Rock", "Avalanche Stage", "Sunday"
"Black Peaks", "Rock", "Avalanche Stage", "Sunday"
"Blackberry Smoke", "Rock", "Main Stage", "Friday"
"Brothers Osborne", "Rock", "Zippo Encore Stage", "Saturday"
"Cane Hill", "Metal, Rock", "Main Stage", "Sunday"
"Carcass", "Metal", "The Dogtooth Stage", "Saturday"
"Cloud", "Punk", "The Dogtooth Stage", "Saturday"
"Clutch", "Rock", "Main Stage", "Friday"
"Coldrain", "Rock", "The Dogtooth Stage", "Sunday"
"Conjurer", "Metal", "The Dogtooth Stage", "Friday"
"Crystal Lake", "Metal", "The Dogtooth Stage", "Sunday"
"Deadland Ritual", "Rock", "Zippo Encore Stage", "Friday"
"Def Leppard", "Rock", "Main Stage", "Friday"
"Delain", "Metal", "Zippo Encore Stage", "Friday"
"Die Antwoord", "Experimental", "Main Stage", "Saturday"
"Dinosaur Pile-Up", "Rock", "Zippo Encore Stage", "Sunday"
"Dream Theater", "Metal", "Zippo Encore Stage", "Sunday"
"Eagles of Death Metal", "Rock", "Zippo Encore Stage", "Friday"
"Enter Shikari", "Experimental, Rock", "Avalanche Stage", "Sunday"
"Fever 333", "Punk", "Avalanche Stage", "Sunday"
"Godsmack", "Rock", "Main Stage", "Sunday"
"Goodbye June", "Rock", "Zippo Encore Stage", "Friday"
"Graveyard", "Rock", "Zippo Encore Stage", "Sunday"
"GroundCulture", "Punk", "The Dogtooth Stage", "Friday"
"Halestorm", "Rock", "Zippo Encore Stage", "Saturday"
"Heart Of A Coward", "Metal", "Avalanche Stage", "Sunday"
"Hot Milk", "Rock", "Avalanche Stage", "Saturday"
"Hu (The)", "Rock", "The Dogtooth Stage", "Saturday"
"I Prevail", "Metal", "Main Stage", "Sunday"
